item,itemLabel,startDate,endDate,sourceDate,psid
Q880774,Richard Riley,1993-01-21,2001-01-20,,Q880774-1B122BF2-2E20-463C-B0A0-8562659AA8FB
Q283396,Rod Paige,2001-01-20,2005-01-20,,Q283396-F5296A30-B5F3-4CB2-A591-A08E5AA4045F
Q262554,Margaret Spellings,2005-01-20,2009-01-20,,Q262554-0aae46fb-405b-91c6-51fa-e42a81ad3a37
Q349922,Arne Duncan,2009-01-21,2016-01-01,,Q349922-E0954746-96FA-4118-89C3-F4956504DA8D
Q6243110,"John King, Jr.",2015-01-04,2016-03-14,,Q6243110-400B3C2D-B93E-4A61-9655-257A2EDBE6B6
Q6243110,"John King, Jr.",2016-03-14,2017-01-20,,Q6243110-0DE9AA06-E892-448E-A06A-1D7E8209C001
Q28530100,Phil Rosenfelt,2017-01-20,2017-02-07,,Q28530100-3BF7EE01-1B53-445F-99CF-155149542A0B
Q4898286,Betsy DeVos,2017-02-07,2021-01-08,,Q4898286-4b4b39a3-4318-1ad7-3934-3cdcb838353b
Q16107563,Mick Zais,2021-01-07,2021-01-20,,Q16107563-7921e1ff-480e-f663-1788-baca60fc7eaa
Q28530100,Phil Rosenfelt,2021-01-20,2021-03-02,,Q28530100-02d17ad7-6367-49e9-8ac0-8927cfb39002
Q104244043,Miguel Cardona,2021-03-02,,,Q104244043-2c5f6ede-4c33-490f-b404-6096d127974b
