@@,itemlabel,item,startdate,enddate
->,"Edward Reilly Stettinius, Jr.->Edward Stettinius Jr.",Q362118,1946-01-17,1946-06-03
->,Henry Cabot Lodge Jr.,Q450984,1953->1953-01-26,1960->1960-09-03
->,James Russell Wiggins,Q1681058,1968->1968-10-07,1969->1969-01-20
->,Charles Woodruff Yost->Charles W. Yost,Q1066494,1969->1969-01-23,1971->1971-02-25
->,John A. Scali,Q6095801,1973->1973-02-20,1975->1975-06-29
->,Andrew Young,Q959635,1977->1977-01-30,1979->1979-09-23
->,Vernon A. Walters,Q660629,1985->1985-05-22,1989->1989-03-15
->,John Negroponte,Q453868,2001-09-19,2004-06-23->2004-07-23
->,Anne W. Patterson,Q433742,2005-01-20,2005-08-01->2005-08-02
->,John R. Bolton->John Bolton,Q311269,2005-08-01->2005-08-02,2006-12-09->2006-12-31
->,Zalmay Khalilzad,Q145193,2007-04-17->2007-04-30,2009-01-20->2009-01-22
->,Susan Rice,Q50612,2009-01-22->2009-01-26,2013-07-01->2013-06-30
->,Samantha J. Power->Samantha Power,Q454970,2013-06-05->2013-08-05,2017-01-20
->,Jonathan Cohen (diplomat)->Jonathan Cohen,Q55615279,2019-01-01,2019-09-12
->,"Richard M. Mills, Jr.->Richard M. Mills Jr.",Q21932292,2021-01-20,2021-02-25
