@@,itemlabel,item,startdate,enddate
->,Amy Regier,Q105662089,2021-01->2020,
->,Brad Tschida,Q27049837,2015-01-05->2014,
->,Braxton Mitchell,Q104872828,2021-01-04->2020,
->,Denise Hayman,Q61633231,2015-01-05->2014,
---,Frank Fleming,Q106795706,2018,
->,Julie Dooling,Q64748129,2019-01-07->2018,
->,Neil Duram,Q64010681,2019-01->2018,
---,Rodney Garcia,Q84247326,2019,
->,Steve Gunderson,Q39079108,2017-01->2016,
---,Tom Winter,Q65029261,2019-01-07,
->,Tyson Running Wolf->Tyson Runningwolf,Q107175582,2018,
+++,Vacant,,,
->,William W. Mercer->Bill Mercer,Q8019812,2018,
